TOPIC-id,SDG,TOPIC,Keywords,ER
SDGt025,3,Communicable Diseases,"Epidemiology, AIDS, Infection, Infectious diseases (medical specialty), COVID-19, Ebola, Influenza, Hepatitis, Mpox, Tuberculosis",
SDGt026,3,Non-communicable Diseases,"Diabetes, Asthma, Arthritis, Cardiovascular disease, Osteoporosis, Cancer, Alzheimer's disease, Non-communicable Diseases",
SDGt027,3,Maternal Health,"Maternal health, preconception, pregnancy, childbirth, Reproductive health, Complications of pregnancy",
SDGt028,3,Vaccination,"Vaccination, Vaccination policy, Vaccination schedule",
SDGt029,3,Public Healthcare,"MEDLINE, Health system, Health care, Health equity, Health human resources, Health insurance, Primary care, Universal Healthcare, Access to Medicine",
SDGt030,3,Cancer Research,"Cancer, Cancer screening, Cancer treatment, Epidemiology of cancer, Oncology, Cancer research",
SDGt031,3,Mental Health,"Mental health, Mental disorder, Mental environment, Emotional resilience, Social stigma",
SDGt032,3,Public Health,"Public health, Air contamination, Air pollution, Global health,Health promotion",
SDGt033,3,Tropical Disease,"Tropical disease, Tropical medicine, Lassa fever, Marburg virus, Dengue fever, Malaria",
SDGt034,4,SDG 4,"Continuing education, adult education, Community education, Lifelong learning, Part-time student, Professional learning community, Education policy, Early Childhood Education Act, Media literacy, Computer-supported collaborative learning, Virtual Collaborative Learning, Distance education, Education AND Legislation, Board of education, Universal Primary Education, Quality Education, Gender Equality in Education, Youth empowerment, Digital literacy, Data literacy, Education AND Accessibility, Education AND Equity, Education AND Inclusion, Education AND Immigrants, Education AND Migrants, Education AND Open file format, Equal Education, Student financial aid, Early Childhood Development, Teacher education, European Teacher Education Network, Teaching method, Vocational Training, Educational technology, Education AND Innovation, Nonformal learning, Open education, Open educational resources, Free education, Education AND Open access, Nonformal learning, Global Citizenship, functional literacy, Professional development, Capacity building, Coursework, Competency building, Special Education, Disability studies, Early childhood intervention, special needs, learning disabilities, Sustainable Development Goal 4",854d95ef-56f1-4455-aee6-1781da704c63
SDGt035,4,Lifelong Learning,"Continuing education, adult education, Community education, Lifelong learning, Part-time student, Professional learning community",
SDGt036,4,Education Policy,"Education policy, Early Childhood Education Act, Education AND Legislation, Board of education, Universal Primary Education, Quality Education, Gender Equality in Education",
SDGt038,4,Inclusive Education,"Education AND Accessibility, Education AND Equity, Education AND Inclusion, Education AND Immigrants, Education AND Migrants, Education AND Open file format, Equal Education, Student financial aid, Early Childhood Development",
SDGt039,4,Teacher Training,"Teacher education, European Teacher Education Network, Teaching method, Vocational Training",
SDGt040,4,Educational Technology,"Educational technology, Education AND Innovation, Computer-supported collaborative learning",
SDGt041,4,Open Education,"Nonformal learning, Open education, Open educational resources, Free education, Education AND Open access",
SDGt042,4,Distance education,"Nonformal learning, Global Citizenship, Distance education",
SDGt043,4,Capacity Building,"Professional development, Capacity building, Coursework, Competency building",
SDGt044,4,Special Education,"Special Education, Disability studies, Early childhood intervention, special needs, learning disabilities",
SDGt045,5,SDG 5,"Women's empowerment, Feminism, Gender Equality, Prejudice, Oppression, Substantive equality, Gender identity, Violence against women, Female education, Misogyny, Stalking, Child sexual abuse, Equal opportunity, Gender and education, Gender parity, Gender parity index, Gender inequality, Gender Mainstreaming, Gender-related violence, Sexual violence, Domestic Violence, Child marriage, Forced marriage, Human rights, Women's rights, Sexual Abuse, Sex Offense, Social inequality, Equal opportunity, Equal pay for equal work, Equal Pay, Disadvantaged, Discrimination, Discrimination based on skin tone, Discrimination against atheists, Sexual minority, Minority group, Minority influence, Social vulnerability, Social stratification, Transgender, Transgender inequality, LGBTQ, Lesbian, Gay, Sustainable Development Goal 5",294e2eec-9970-439c-b879-a26174629dcd
SDGt046,5,Gender empowerment,"Gender empowerment,Women's empowerment, Feminism, Gender Equality",
SDGt047,5,Equal Opportunities,"Equal opportunity, Prejudice, Gender and education",
SDGt048,5,Gender Parity,"Gender parity, Gender parity index, Gender inequality, Gender Mainstreaming",
SDGt049,5,Gender-based Violence,"Gender-related violence, Sexual violence, Domestic Violence, Violence against women",
SDGt050,5,Women's Rights,"Child marriage, Forced marriage, Human rights, Women's rights",
SDGt051,5,Sex Offense,"Sexual Abuse, Sex Offense,Age of consent,Child sexual abuse, Stalking",
SDGt052,5,Pay Equity,"Social inequality, Equal opportunity, Equal pay for equal work, Equal Pay,Labor rights",
SDGt053,5,Discrimination,"Disadvantaged, Discrimination, Discrimination based on skin tone, RacismDiscrimination against atheists, Ableism",
SDGt054,5,Minorities,"Sexual minority, Minority group, Minority influence, Social vulnerability, Social stratification,Minority religion",
SDGt055,5,Representation,"Transgender, Transgender inequality, LGBTQ, Lesbian, Gay",
SDGt056,6,SDG 6,"Water supply, Water-use efficiency, Groundwater, Sanitation, Water AND Hygiene, Water Sanitation, Emergency sanitation, Sustainable sanitation, Tap water, Drinking water quality, Salinity, Turbidity, Waterborne disease, Escherichia coli, Salmonella enterica, Polyomavirus infection, Desmodesmus, Reclaimed water, Desalination, Wastewater treatment, Drinking water, Drinking water quality standards, Safe Drinking Water, Drought, Water scarcity,  Water security, Water storage, Water resources, Water Resource Management, Integrated Water Resources Management, Water quality, Water quality law, Water quality modelling, Water rights, Water politics, Water Regulations Advisory Scheme, Water Pollution, Water AND Contamination, Aquatic toxicology, Sustainable Development Goal 6",d2781b6e-ac05-4b9e-a4c9-ec0d1a4c2d57
SDGt057,6,Water Access,"Water supply, Water-use efficiency, Groundwater",
SDGt058,6,Sanitation & Hygiene,"Sanitation, Water AND Hygiene, Water AND Sanitation",
SDGt059,6,Water-borne Disease,"Waterborne disease, Escherichia coli, Salmonella enterica, Polyomavirus infection, Desmodesmus",
SDGt060,6,Wastewater Management,"Reclaimed water, Desalination, Wastewater treatment",
SDGt061,6,Clean Drinking Water,"Drinking water, Drinking water quality standards, Safe Drinking Water,Tap water",
SDGt062,6,Water Scarcity,"Drought, Water scarcity, Water security,Peak water",
SDGt063,6,Water Resource Management,"Water storage, Water resources, Water Resource Management, Integrated Water Resources Management,Water resource policy",
SDGt064,6,Water Quality,"Water quality, Water quality law, Water quality modelling", 
SDGt065,6,Water Policy,"Water rights, Water politics, Water Regulations Advisory Scheme",
SDGt066,6,Water Pollution,"Water Pollution, Water AND Contamination, Aquatic toxicology",
SDGt067,7,SDG 7,"Renewable energy, Solar power, Wind energy, Hydropower, Energy security, Variable renewable energy,Grid balancing, Thermal efficiency,Luminous efficacy, Power usage effectiveness, Sustainable refurbishment, Sustainable biofuel, Energy planning, Energy intensity, Nuclear energy policy, Energy economics, Energy poverty, Energy for All, SolarAid, Sustainable Energy for All, Household energy insecurity, Sustainable energy, Energy poverty and cooking, Clean Energy Regulator, Energy efficiency, Energy efficiency implementation, Energy efficiency gap, Energy conservation, Energy storage, Electric potential energy, Thermal energy storage, Energy recycling, Energy recovery, Waste-to-energy, Waste heat, Sustainable energy, Carbon capture and storage, Energy transition, Energy development, Energy demand management, Electric energy consumption, World energy resources, World energy supply and consumption, Nuclear power, Potential energy, Nuclear reactor, Sustainable Development Goal 7",cc939003-2b43-4ffc-9fd5-1dcd9eb93256
SDGt068,7,Renewable Energy,"Renewable energy, Solar power, Wind energy",
SDGt069,7,Energy Access,"Energy poverty, Energy for All, Energy poverty and cooking, SolarAid, Sustainable Energy for All, Household energy insecurity",
SDGt070,7,Energy transition, "Energy transition, Energy security, Sustainable energy, Clean Energy Regulator",
SDGt071,7,Energy Efficiency,"Energy efficiency, Energy efficiency implementation, Energy efficiency gap",
SDGt072,7,Energy Conservation,"Energy conservation, Energy storage, Electric potential energy, Thermal energy storage",
SDGt073,7,Energy Recycling,"Energy recycling, Energy recovery, Waste-to-energy, Waste heat,Cogeneration",
SDGt074,7,Sustainable Energy,"Sustainable energy, Carbon capture and storage, Energy transition,Sustainable city,Sustainable refurbishment,Sustainable biofuel",
SDGt075,7,Energy Infrastructure,"Energy development, Energy demand management, Electric energy consumption",
SDGt076,7,Energy Policy,"World energy resources, World energy supply and consumption, Energy policy,Energy planning,Energy intensity,Nuclear energy policy",
SDGt077,7,Nuclear Energy,"Nuclear power, Potential energy, Nuclear reactor, Nuclear energy policy",
SDGt078,8,SDG 8,"Unemployment, Unemployment benefits, Technological unemployment, Nature-positive Tourism, Freedom of association, Social entrepreneurship, Responsible Research and Innovation, Leave No Trace, Self-employment, Workforce, Economic Growth, Informal Economy, Globalization, Sustainability, Sustainable tourism, Ecotourism, Financial models, Business model, Innovation, Financial support, Worker Rights, Labor Right, Labour law, Decent Work, Fundamental rights, Dignity of labour, Inclusive Development Index, Inclusive growth, Sustainable development, Resource efficiency, Resource intensity, Sustainability measurement, Youth Unemployment, Unemployment, Capacity building, Corporate Social Responsibility, Conscious business, Corporate governance, Sustainable Development Goal 8",e3da153d-a47b-477c-8336-3ac7dd69fbdd
SDGt079,8,Unemployment,"Unemployment, Self-employment, Workforce,Unemployment benefits,Technological unemployment",
SDGt080,8,Economic Development,"Economic Growth, Informal Economy, Globalization",
SDGt081,8,Sustainable Tourism,"Sustainability, Sustainable tourism, Ecotourism",
SDGt082,8,Entrepreneurship,"Financial models, Business model, Innovation, Financial support",
SDGt083,8,Labor Rights,"Worker Rights, Labor rights, Labour law,Right to work",
SDGt084,8,Decent Work,"Decent Work, Fundamental rights, Dignity of labour,Decent work",
SDGt085,8,Economic inclusivity,"Inclusive Development Index, Inclusive growth, Sustainable development",
SDGt086,8,Resource Efficiency,"Resource efficiency, Resource intensity, Sustainability measurement,Resource productivity,Environmental degradation",
SDGt087,8,Youth Employment,"Youth Unemployment, Unemployment, Capacity building,Social entrepreneurship",
SDGt088,8,Corporate Social Responsibility,"Corporate Social Responsibility, Conscious business, Corporate governance",
SDGt089,9,SDG 9,"Infrastructure, IT infrastructure, Cloud infrastructure, Critical infrastructure, Human-Machine Interaction, Human-Robot Collaboration, Industry 5.0, Open science, Technology transfer, Lean software development, Environmental impact assessment, Environmental,_social,_and_governance, Cybercrime, Cyber resilience, Sustainability certification, Open innovation, Data center, Business continuity planning, Industrialisation, Manufacturing, Technology life cycle, Research and development, Technology demonstration, Prototype, Innovation, Lean project management, Intellectual property, Sustainable industries, Green infrastructure, Sustainable energy, Cyber Resilience Act, Computer security, Cyber resilience, Software standard, Industrial Policy, Communication protocol, Domino effect accident, Process safety, Transdisciplinarity, Green economy, Ecological economics, Environmental economics, Artificial Intelligence, Digital transformation, Discovery-driven planning, Sustainable Development Goal 9",3d89bf89-149e-480d-8eae-27c3f8e7c9aa
SDGt090,9,Infrastructure,"Infrastructure, IT infrastructure, Data center, Business continuity planning,Critical infrastructure",
SDGt091,9,Industrialization,"Industrialisation, Manufacturing, Technology life cycle,Human–computer interaction, Human–robot interaction, Fourth Industrial Revolution", 
SDGt092,9,Research & Development,"Research and development, Technology demonstration, Prototype, Open science,Technology demonstration, Technology transfer",
SDGt093,9,Innovation,"Innovation, Lean project management, Intellectual property, Open innovation",
SDGt094,9,Sustainable industries,"Sustainable industries, Green infrastructure, Sustainable energy",
SDGt095,9,Technology Resilience,"Cyber Resilience Act, Computer security, Cyber resilience",
SDGt096,9,Industrial Policy,"Software standard, Industrial Policy, Communication protocol",
SDGt097,9,NaTech Accidents,"Domino effect accident, Process safety, Transdisciplinarity",
SDGt098,9,Green Economy,"Green economy, Ecological economics, Environmental economics",
SDGt099,9,Digital Transformation,"Artificial Intelligence, Digital transformation, Discovery-driven planning",
SDGt100,10,SDG 10,"Inclusive growth, Smart growth, Social exclusion, Discrimination, Antisemitism, Anti-Catholicism, Anti-Arabism, Income distribution, Social alienation, Economic security, Stereotype, Attribution bias, Epistemic injustice, Disability welfare, Fair trade certification, Ethical consumerism, Economic inequality, Distribution of wealth, Social mobility, Social stigma, Spatial inequality, Social equity, Social justice, Social privilege, Migrant, Refugee, Diaspora, Asylum seeker, Disability, Assistive technology, Parents with disabilities, Global citizenship, Transnationality, Transnationalism, Globalization, Fair trade, Fairtrade International, Alter-globalization, Social inequality, Gini coefficient, Distribution of wealth, Sustainable Development Goal 10",922d5944-0b06-4e7d-8ed4-e25252982c89
SDGt101,10,Social exclusion,"Inclusive growth, Smart growth, Social exclusion, Social alienation",
SDGt102,10,Discrimination,"Discrimination, Antisemitism, Anti-Catholicism, Anti-Arabism",
SDGt103,10,Income Inequality,"Income distribution, Economic inequality, Distribution of wealth",
SDGt104,10,Social stigma,"Stereotype, Social stigma, Spatial inequality,Attribution bias", 
SDGt105,10,Equitable Opportunities,"Social equity, Social justice, Social privilege",
SDGt106,10,Migrants and Refugees,"Migrant, Refugee, Diaspora, Asylum seeker",
SDGt107,10,Developmental disability,"Disability, Assistive technology, Parents with disabilities, Developmental disability",
SDGt108,10,Global Citizenship,"Global citizenship, Transnationality, Transnationalism, Globalization",
SDGt109,10,Fair Trade,"Fair trade, Fairtrade International, Alter-globalization",
SDGt110,10,Distribution of wealth,"Social inequality, Gini coefficient, Distribution of wealth",
SDGt111,11,SDG 11,"Urbanization, Smart Cities, Urban Planning, Affordable Housing, Housing inequality, Housing authority, Ecodistrict, Urban informatics, Zero-carbon city, Urban resilience, Participatory planning, Environmental gentrification, Early warning system, Disaster response, Sustainable urbanism, Walkability, Public housing Household income, Housing affordability index, Sustainable transport, Cyclability, Environmental impact of shipping, Sustainable urban infrastructure, Climate Resilient Infrastructure Development Facility, Critical infrastructure, Green infrastructure, Green belt, Greenway (landscape), Waste management, Biomedical waste, Sanitary engineering, Air pollution, Air quality index, Air Pollution Index, Public Transport, Shared transport, Journey planner, Flood management, Emergency management, Flood risk assessment, Sustainable city, Smart city, Eco-cities, Sustainable Development Goal 11",66f79af1-579d-405e-a480-a93bdd7d0d89
SDGt112,11,Green Urban Planning,"Urbanization, Smart Cities, Urban Planning, Green infrastructure, Green belt, Greenway (landscape)",
SDGt113,11,Affordable Housing,"Affordable Housing, Household income, Housing affordability index",
SDGt114,11,Sustainable Transport,"Sustainable transport, Cyclability, Environmental impact of shipping, Public Transport, Shared transport, Journey planner",
SDGt115,11,Resilient Infrastructure,"Sustainable urban infrastructure, Climate Resilient Infrastructure Development Facility, Critical infrastructure",
SDGt116,11,Smart Cities,"Smart city, Internet of things, Community-driven development, Community organization",
SDGt117,11,Waste Management,"Waste management, Biomedical waste, Sanitary engineering",
SDGt118,11,Air Quality,"Air pollution, Air quality index, Air Pollution Index",
SDGt119,11,Sustainable Communities,"Sustainable community, Sustainable living, Sustainable Communities Plan, Green affordable housing,Urban resilience,Participatory planning,Environmental gentrification",
SDGt120,11,Disaster Preparedness,"Flood management, Emergency management, Flood risk assessment,Early warning system,Disaster response",
SDGt121,11,Sustainable Cities,"Sustainable city, Smart city, Eco-cities,Sustainable urbanism,Green infrastructure, Walkability",
SDGt122,12,SDG 12,"Food loss and waste, Waste minimisation, Recycling, Reuse, Recycling bin, Materials recovery facility, Production Patterns, Green manfactoring, Industrial ecology, Supply chain sustainability, Ecomodernism, End-of-life product, True cost accounting, Appliance recycling, Electronic waste recycling, Responsible Business, Sustainable consumption, Anti-consumerism, Collaborative consumption, Overconsumption (economics), Circular Economy, Circular procurement, Durable good, Sustainable products, Resource efficiency, Ecological efficiency, Efficient energy use, Consumer behaviour, Precycling, Source reduction, Zero waste, Advertising management, Predictive buying, Supply chain, Logistics, Supply chain management, Supply chain attack, Ecological design, European Ecodesign Directive, Eco-innovation, Environmental design, Environmental impact assessment, Environmental issues, Strategic environmental assessment, Sustainable Development Goal 12",c4d5af06-b9d4-4f28-91a9-148e28c24fb3
SDGt123,12,Waste Reduction,"Food loss and waste, Waste minimisation,Source reduction,Zero waste",
SDGt124,12,Recycling,"Recycling, Reuse, Recycling bin, Materials recovery facility,E-waste recycling,Appliance recycling",
SDGt125,12,Sustainable Production,"Production Patterns, Responsible Business",
SDGt126,12,Sustainable Consumption,"Sustainable consumption, Anti-consumerism, Collaborative consumption, Overconsumption (economics)",
SDGt127,12,Circular Economy,"Circular Economy, Circular procurement, Durable good, Sustainable products",
SDGt128,12,Resource Efficiency,"Resource efficiency, Ecological efficiency, Efficient energy use,Industrial ecology",
SDGt129,12,Consumer Awareness,"Consumer behaviour, Advertising management, Predictive buying",
SDGt130,12,Supply Chains,"Supply chain, Logistics, Supply chain management, Supply chain attack",
SDGt131,12,Eco-friendly Products,"Ecological design, European Ecodesign Directive, Eco-innovation, Environmental design,Ecomodernism",
SDGt132,12,Life cycle assessment,"Environmental impact assessment, Life cycle assessment, Strategic environmental assessment,True cost accounting",
SDGt133,13,SDG 13,"Climate Change, Climate variability and change, United Nations Framework Convention on Climate Change, Carbon Footprint, Greenhouse gas emissions, Carbon dioxide in Earth's atmosphere, Climate justice, Weather extremes, Polar amplification, Embedded emissions, Emission intensity, Embedded emissions, Environmental crime, Rights of nature, Climate change scenario, Greenhouse effect, Climate change vulnerability, Sea level rise, Climate emergency, Environmental disaster, Ecocide, Emissions trading, Climate finance, Environmental justice, Environmental degradation, Climate change adaptation, Effects of climate change, Environmental issues, Renewable Energy, Climate change mitigation, Climate resilience, Environmental protection, Ecological resilience, Global warming, Global surface temperature, Temperature anomaly, Climate risk, Effects of climate change, Climate crisis, Climate movement, Climate action, European Green Deal, Paris Agreement, Conference of the parties, Drought,  Disaster risk reduction, Flood, Extreme weather, Sustainable Development Goal 13",32cc9ec6-9dc8-41ad-882a-3701c22ef9da
SDGt134,13,Climate Change,"Climate Change, Climate variability and change, United Nations Framework Convention on Climate Change,Polar amplification",
SDGt135,13,Carbon Footprint,"Carbon Footprint, Greenhouse gas emissions, Carbon dioxide in Earth's atmosphere",
SDGt136,13,Climate Justice,"Climate justice, Environmental justice, Environmental degradation",
SDGt137,13,Climate Change Mitigation,"Climate change adaptation, Effects of climate change, Environmental issues, Renewable Energy, Climate change mitigation",
SDGt138,13,Climate Change Resilience,"Climate resilience, Environmental protection, Ecological resilience,Climate change mitigation",
SDGt139,13,Global Warming,"Global warming, Global surface temperature, Temperature anomaly",
SDGt140,13,Climate Risk,"Climate risk, Effects of climate change,Climate change vulnerability",
SDGt141,13,Climate Crisis,"Climate crisis, Climate movement, Climate action, Climate emergency declaration, Environmental disaster, Ecocide",
SDGt142,13,Climate Policy,"European Green Deal, Paris Agreement, Conference of the parties",
SDGt143,13,Natural Emergency,"Emergency management,Drought, Disaster risk reduction, Flood, Extreme weather",
SDGt144,14,SDG 14,"Marine Life, Freshwater ecosystem, Marine ecosystem, Oceans, Marine conservation, Marine resources, Marine Legislation, Marine protected area, Oil spill, Marine food web, Kelp forest, Marine sediment, Bycatch reduction, Marine stewardship Council, Ocean deoxygenation, Coral reef conservation, Coral bleaching, Fishery, Aquaculture, Overfishing, Marine pollution, Invasive species, Plasticosis, Marine Biodiversity, Ocean AND Biodiversity, Marine habitat, Sustainable fishery, Population dynamics of fisheries, Sustainable yield in fisheries, Ocean acidification, Marine biogenic calcification, Estuarine acidification, Coral reef, Coral, Deep-water coral, Sponge reef, Marine resources, Marine energy, Human impact on marine life, Effects of climate change on oceans, Marine coastal ecosystem, Coastal management, Coastal erosion, Sustainable Development Goal 14",48f2290b-50de-412c-bd89-73bbd5202fab
SDGt145,14,Marine Ecosystems,"Marine Life, Freshwater ecosystem, Marine ecosystem",
SDGt146,14,Ocean Conservation,"Oceans, Marine conservation, Marine resources,Marine protected area",
SDGt147,14,Fisheries,"Fishery, Aquaculture, Overfishing",
SDGt148,14,Marine Pollution,"Marine pollution, Invasive species, Plasticosis,Oil spill",
SDGt149,14,Marine Biodiversity,"Marine Biodiversity, Ocean AND Biodiversity, Marine habitat",
SDGt150,14,Sustainable Fishing,"Sustainable fishery, Population dynamics of fisheries, Sustainable yield in fisheries",
SDGt151,14,Ocean Acidification,"Ocean acidification, Marine biogenic calcification, Estuarine acidification",
SDGt152,14,Coral Reefs,"Coral reef, Coral, Deep-water coral, Sponge reef, Coral reef conservation,Coral bleaching,Reef restoration",
SDGt153,14,Marine Resources,"Marine resources, Marine energy, Human impact on marine life, Effects of climate change on oceans",
SDGt154,14,Coastal Protection,"Marine coastal ecosystem, Coastal management, Coastal erosion",
SDGt155,15,SDG 15,"Deforestation, Clearcutting, Forest transition, Defaunation, Biodiversity, Endangered species, Life, Ecosystem diversity, Land Degradation, Land management, Habitat restoration, Poaching, Wildlife corridor, Aridification, Surface runoff, Land reclamation, Forest restoration, Revegetation, Forest management, Reforestation, Forest, Ecological restoration, Ecosystem service, Carbon sequestration, Wildlife conservation, Wildlife, Habitat destruction, Desertification, Land degradation, Biodiversity loss, Protected Areas, Nature reserve, Nature conservation, Sustainable Forestry, Forestry, Woodland, Soil health, Soil resilience, Soil fertility, Sustainable Development Goal 15",b96e82e4-892d-4654-84ab-7f1a5ca5019c
SDGt156,15,Deforestation,"Deforestation, Clearcutting, Defaunation",
SDGt157,15,Biodiversity conservation,"Biodiversity, Life, Ecosystem diversity",
SDGt158,15,Land Degradation,"Land Degradation, Land management, Surface runoff",
SDGt159,15,Reforestation,"Forest management, Reforestation, Forest",
SDGt160,15,Ecosystem Restoration,"Ecological restoration, Ecosystem service, Carbon sequestration",
SDGt161,15,Wildlife Conservation,"Wildlife conservation, Wildlife, Habitat destruction",
SDGt162,15,Desertification,"Desertification, Land degradation, Biodiversity loss",
SDGt163,15,Protected Areas,"Protected Areas, Nature reserve, Nature conservation, Forest reserve",
SDGt164,15,Sustainable Forestry,"Sustainable Forestry, Forestry, Woodland",
SDGt165,15,Soil Sustainability,"Soil health, Soil resilience, Soil fertility",
SDGt166,16,SDG 16,"Rule of Law, Legal certainty, Public interest law, Legal aid, Judicial independence, Alternative dispute resolution, Open government, Freedom of information, Adaptive capacity, Separation of powers, Human Rights, Right to life, Freedom of speech, Right to education, Justice, Court, Social contract, Transparency (behavior), Openness, Open standard, Anti-Corruption, Regulatory compliance, Professional ethics, Bribery, Strong AND Institution, Cultural reproduction, Value (ethics), Accountability, Legal liability, Strict liability, Peace, Conflict Resolution, Freedom, Liberty, Autonomy, Social exclusion, Ostracism, Social rejection, Social vulnerability, Sustainable Development Goal 16",177b7af0-8fcf-49e7-8a68-d47a976b0770
SDGt167,16,Rule of Law,"Rule of Law, Legal certainty, Public interest law",
SDGt168,16,Human Rights,"Human Rights, Right to life, Freedom of speech, Right to education",
SDGt169,16,Access to Justice,"Justice, Court, Social contract,Legal aid,Judicial independence,Alternative dispute resolution",
SDGt170,16,Transparency,"Transparency (behavior), Openness, Open standard,Open government,Open standard,Freedom of information",
SDGt171,16,Anti-Corruption,"Anti-Corruption, Regulatory compliance, Professional ethics, Bribery",
SDGt172,16,Strong Institutions,"Strong AND Institution, Cultural reproduction, Value (ethics)",
SDGt173,16,Accountability,"Accountability, Legal liability, Strict liability,Social accountability",
SDGt174,16,Conflict Resolution,"Peace, Conflict Resolution,Mediation,Peace process,Reconciliation",
SDGt175,16,Autonomy,"Freedom, Liberty, Autonomy,Political autonomy,Personal autonomy,Administrative autonomy",
SDGt176,16,Inclusivity,"Social exclusion, Ostracism, Social rejection, Social vulnerability",
