TOPIC-id,SDG,TOPIC,Keywords
SDG02013,2,Food policy,"Food policy"
SDG02020,2,Malnutrition,"Malnutrition,nutrients AND deficiency,Underweight,Food desert"
SDG02021,2,Stunted growth,"Stunted growth"
SDG02022,2,Agricultural biodiversity,"Agricultural biodiversity"
SDG02023,2,Underweight,"Underweight"
SDG02030,2,Agricultural Productivity,"Land law,Agricultural productivity,Agroforestry"
SDG02031,2,Land law,"Land law"
SDG02032,2,Agricultural productivity,"Agricultural productivity"
SDG02033,2,Agroforestry,"Agroforestry"
SDG02040,2,Sustainable Farming,"Biofertilizer,Crop diversity,Sustainable agriculture,Agroecology"
SDG02041,2,Biofertilizer,"Biofertilizer"
SDG02042,2,Crop diversity,"Crop diversity"
SDG02043,2,Agroecology,"Agroecology"
SDG02050,2,Food policy,"Agricultural value chain,Agribusiness,Bioeconomy,Food policy"
SDG02051,2,Agricultural value chain,"Agricultural value chain"
SDG02052,2,Agricultural value chain,"Agricultural value chain"
SDG02053,2,Bioeconomy,"Agribusiness,Bioeconomy"
SDG02060,2,Rural Development,"Land law,Agricultural Land Reserve,Agricultural economics,Indigenous land rights"
SDG02061,2,Agricultural Land Reserve,"Agricultural Land Reserve"
SDG02062,2,Agricultural economics,"Agricultural economics"
SDG02063,2,Indigenous land rights,"Indigenous land rights"
SDG02070,2,Smallholder Farmers,"Agricultural Orientation index,Smallholding,World Food Programme"
SDG02071,2,Agricultural Orientation,"Agricultural orientation index"
SDG02072,2,Smallholding,"Smallholding"
SDG02073,2,World Food Programme,"World Food Programme"
SDG02080,2,Food Systems,"Food system,Food industry,Food Standards Agency,foodborne illness,Food technology"
SDG02081,2,Food system,"Food system"
SDG02082,2,Food industry,"Food industry"
SDG02083,2,Food technology,"Food technology"
SDG02090,2,Zero Hunger,"Hunger,Universal Declaration on the Eradication of Hunger and Malnutrition,Zero Hunger"
SDG02091,2,Famine relief,"Famine relief"
SDG02092,2,Famine scale,"Famine scales"
SDG02093,2,Starvation response,"Starvation response"
SDG02100,2,Resilient Agriculture,"Genetically Modified Food,Climate-smart agriculture,Genetically Modified Crops,Biofortification"
SDG02101,2,Genetically Modified Food,"Genetically Modified Food"
SDG02102,2,Climate-smart agriculture,"Climate-smart agriculture"
SDG02103,2,Biofortification,"Biofortification"
SDG03000,3,SDG 3,"Biomedical sciences,Rare disease,Orphan drugs,Orphanet,9q34.3 deletion syndrome,Angelman syndrome,Dravet syndrome,Cornelia de Lange syndrome,Fragile X syndrome,Rett syndrome,Kabuki syndrome,Prader–Willi syndrome,Epidemiology,AIDS,Infection,Infectious diseases (medical specialty),COVID-19,Ebola,Influenza,Hepatitis,Mpox,Tuberculosis,Diabetes,Asthma,Arthritis,Cardiovascular disease,Osteoporosis,Cancer,Alzheimer's disease ,Non-communicable Diseases,Maternal health,preconception,pregnancy,childbirth,Reproductive health,Complications of pregnancy,Vaccination,Vaccination policy,Vaccination schedule,MEDLINE,Health system,Health care,Health equity,Health human resources,Health insurance,Primary care,Universal Healthcare,Access to Medicine,Cancer,Cancer screening,Cancer treatment,Epidemiology of cancer,Oncology,Cancer research,Mental health,Mental disorder,Mental environment,Emotional resilience,Social stigma,Public health,Air contamination,Air pollution,Global Health Initiatives,Tropical disease,Tropical medicine,Lassa fever,Marburg virus,Dengue fever,Malaria,Sustainable Development Goal 3"
SDG03010,3,Rare Diseases,"Biomedical sciences,Rare disease,Orphan drugs,Orphanet,9q34.3 deletion syndrome,Angelman syndrome,Dravet syndrome,Cornelia de Lange syndrome,Fragile X syndrome,Rett syndrome,Kabuki syndrome,Prader–Willi syndrome"
SDG03011,3,Kleefstra,"9q34.3 deletion syndrome"
SDG03012,3,Angelman,"Angelman syndrome"
SDG03013,3,Fragile X,"Fragile X syndrome"
SDG03020,3,Communicable Diseases,"Epidemiology,AIDS,Infection,Infectious diseases (medical specialty),COVID-19,Ebola,Influenza,Hepatitis,Mpox,Tuberculosis"
SDG03021,3,Tuberculosis,"Tuberculosis"
SDG03022,3,Ebola,"Ebola"
SDG03023,3,Influenza,"Influenza"
SDG03030,3,Non-communicable Diseases,"Diabetes,Asthma,Arthritis,Cardiovascular disease,Osteoporosis,Cancer,Alzheimer's disease,Non-communicable Diseases"
SDG03031,3,Diabetes,"Diabetes"
SDG03032,3,Asthma,"Asthma"
SDG03033,3,Cardiovascular disease,"Cardiovascular disease"
SDG03040,3,Maternal Health,"Maternal health,preconception,pregnancy,childbirth,Reproductive health,Complications of pregnancy"
SDG03041,3,pregnancy,"pregnancy"
SDG03042,3,childbirth,"childbirth"
SDG03043,3,Complications of pregnancy,"Complications of pregnancy"
SDG03050,3,Vaccination,"Vaccination,Vaccination policy,Vaccination schedule"
SDG03051,3,Vaccination policy,"Vaccination policy"
SDG03052,3,Vaccination schedule,"Vaccination schedule"
SDG03053,3,Vaccine trial,"Vaccine trial"
SDG03060,3,Public Healthcare,"MEDLINE,Health system,Health care,Health equity,Health human resources,Health insurance,Primary care,Universal Healthcare,Access to Medicine"
SDG03061,3,Health equity,"Health equity"
SDG03062,3,Health human resources,"Health human resources"
SDG03063,3,Health insurance,"Health insurance"
SDG03070,3,Cancer Research,"Cancer,Cancer screening,Cancer treatment,Epidemiology of cancer,Oncology,Cancer research"
SDG03071,3,Cancer screening,"Cancer screening"
SDG03072,3,Cancer treatment,"Cancer treatment"
SDG03073,3,Cancer research,"Cancer research"
SDG03080,3,Mental Health,"Mental health,Mental disorder,Mental environment,Emotional resilience,Social stigma"
SDG03081,3,Mental disorder,"Mental disorder"
SDG03082,3,Mental environment,"Mental environment"
SDG03083,3,Emotional resilience,"Emotional resilience"
SDG03090,3,Public Health,"Public health,Air contamination,Air pollution,Global health,Health promotion"
SDG03091,3,Health promotion,"Health promotion"
SDG03092,3,Global health,"Global health"
SDG03093,3,Universal health care,"Universal health care"
SDG03100,3,Tropical Disease,"Tropical disease,Tropical medicine,Lassa fever,Marburg virus,Dengue fever,Malaria"
SDG03101,3,Lassa,"Lassa fever"
SDG03102,3,Dengue,"Dengue fever"
SDG03103,3,Malaria,"Malaria"
SDG04000,4,SDG 4,"Continuing education,adult education,Community education,Lifelong learning,Part-time student,Professional learning community,Education policy,Early Childhood Education Act,Education AND Legislation,Board of education,Universal Primary Education,Quality Education,Gender Equality in Education,Youth empowerment,Digital literacy,Data literacy,Education AND Accessibility,Education AND Equity,Education AND Inclusion,Education AND Immigrants,Education AND Migrants,Education AND Open file format,Equal Education,Student financial aid,Early Childhood Development,Teacher education,European Teacher Education Network,Teaching method,Vocational Training,Educational technology,Education AND Innovation,Nonformal learning,Open education,Open educational resources,Free education,Education AND Open access,Nonformal learning,Global Citizenship,functional literacy,Professional development,Capacity building,Coursework,Competency building,Special Education,Disability studies,Early childhood intervention,special needs,learning disabilities,Sustainable Development Goal 4"
SDG04010,4,Lifelong Learning,"Continuing education,adult education,Community education,Lifelong learning,Part-time student,Professional learning community,Continuing education,Adult education,Community education"
SDG04011,4,Continuing education,"Continuing education"
SDG04012,4,Adult education,"Adult education"
SDG04013,4,Community education,"Community education"
SDG04020,4,Education Policy,"Education policy,Early Childhood Education Act,Education AND Legislation,Board of education,Universal Primary Education,Quality Education,Gender Equality in Education"
SDG04021,4,Early Childhood Education,"Early Childhood Education Act"
SDG04022,4,Quality Education,"Quality Education"
SDG04023,4,Gender Equality in Education,"Gender Equality in Education"
SDG04030,4,Digital Literacy,"Youth empowerment,Digital literacy,Data literacy,Media literacy,Web literacy"
SDG04031,4,Web literacy,"Web literacy"
SDG04032,4,Media literacy,"Media literacy"
SDG04033,4,Data literacy,"Data literacy"
SDG04040,4,Inclusive Education,"Education AND Accessibility,Education AND Equity,Education AND Inclusion,Education AND Immigrants,Education AND Migrants,Education AND Open file format,Equal Education,Student financial aid,Early Childhood Development"
SDG04041,4,Equal Education,"Equal Education"
SDG04042,4,Student financial aid,"Student financial aid"
SDG04043,4,Open file format,"Open file format"
SDG04050,4,Teacher Training,"Teacher education,European Teacher Education Network,Teaching method,Vocational Training"
SDG04051,4,Teacher education,"Teacher education"
SDG04052,4,Teaching method,"Teaching method"
SDG04053,4,Vocational Training,"Vocational Training"
SDG04060,4,Educational Technology,"Educational technology,Education AND Innovation,Computer-supported collaborative learning"
SDG04061,4,Computer-supported collaborative learning,"Computer-supported collaborative learning"
SDG04062,4,Virtual Collaborative Learning,"Virtual Collaborative Learning"
SDG04063,4,Distance education,"Distance education"
SDG04070,4,Open Education,"Nonformal learning,Open education,Open educational resources,Free education,Education AND Open access"
SDG04071,4,Open educational resources,"Open educational resources"
SDG04072,4,Free education,"Free education"
SDG04073,4,Open access,"Education AND Open access"
SDG04080,4,Distance education,"Nonformal learning,Global Citizenship,Distance education"
SDG04081,4,Nonformal learning,"Nonformal learning"
SDG04082,4,Global Citizenship,"Education AND Global Citizenship"
SDG04083,4,Digital divide,"Education AND Digital divide"
SDG04090,4,Capacity Building,"Professional development,Capacity building,Coursework,Competency building,Professional development"
SDG04091,4,Professional development,"Professional development"
SDG04092,4,Coursework,"Coursework"
SDG04093,4,Competency building,"Competency building"
SDG04100,4,Special Education,"Special Education,Disability studies,Early childhood intervention,special needs,learning disabilities"
SDG04101,4,Early childhood intervention,"Early childhood intervention"
SDG04102,4,special needs,"special needs"
SDG04103,4,learning disabilities,"learning disabilities"
SDG05000,5,SDG 5,"Women's empowerment,Feminism,Gender Equality,Equal opportunity,Gender AND education,Gender parity,Gender parity index,Gender inequality,Gender Mainstreaming,Gender-related violence,Sexual violence,Domestic Violence,Child marriage,Forced marriage,Human rights,Women's rights,Sexual Abuse,Sex Offense,Social inequality,Equal opportunity,Equal pay for equal work,Equal Pay,Disadvantaged,Discrimination,Discrimination based on skin tone,Discrimination against atheists,Sexual minority,Minority group,Minority influence,Social vulnerability,Social stratification,Transgender,Transgender inequality,LGBTQ,Lesbian,Gay,Sustainable Development Goal 5"
SDG05010,5,Gender empowerment,"Gender empowerment,Women's empowerment,Feminism,Gender Equality"
SDG05011,5,Women's empowerment,"Women's empowerment"
SDG05012,5,Feminism,"Feminism"
SDG05013,5,Gender Equality,"Gender Equality"
SDG05020,5,Equal Opportunities,"Equal opportunity,Prejudice,Gender AND education,Prejudice,Oppression,Substantive equality"
SDG05021,5,Gender Prejudice,"Gender,Prejudice"
SDG05022,5,Gender Oppression,"Gender,Oppression"
SDG05023,5,Substantive equality,"Substantive equality"
SDG05030,5,Gender Parity,"Gender parity,Gender parity index,Gender inequality,Gender Mainstreaming"
SDG05031,5,Gender identity,"Gender identity"
SDG05032,5,Gender inequality,"Gender inequality"
SDG05033,5,Gender Mainstreaming,"Gender Mainstreaming"
SDG05040,5,Gender-based Violence,"Gender-related violence,Sexual violence,Domestic Violence,Violence against women"
SDG05041,5,Violence against women,"Violence against women"
SDG05042,5,Sexual violence,"Sexual violence"
SDG05043,5,Domestic Violence,"Domestic violence"
SDG05050,5,Women's Rights,"Child marriage,Forced marriage,Human rights,Women's rights,Female education,Forced marriage,Misogyny"
SDG05051,5,Female education,"Female education"
SDG05052,5,Forced marriage,"Forced marriage"
SDG05053,5,Misogyny,"Misogyny"
SDG05060,5,Sex Offense,"Sexual Abuse,Sex Offense,Age of consent,Child sexual abuse,Stalking"
SDG05061,5,Sexual Abuse,"Sexual Abuse"
SDG05062,5,Stalking,"Gender AND Stalking"
SDG05063,5,Child sexual abuse,"Child sexual abuse"
SDG05070,5,Pay Equity,"Social inequality,Equal opportunity,Equal pay for equal work,Equal Pay,Labor rights"
SDG05071,5,Social inequality,"Social inequality"
SDG05072,5,Equal opportunity,"Equal opportunity"
SDG05073,5,Labor rights,"Gender AND Labor rights"
SDG05080,5,Discrimination,"Disadvantaged,Discrimination,Discrimination based on skin tone,RacismDiscrimination against atheists,Ableism"
SDG05081,5,Disadvantaged,"Gender AND Disadvantaged"
SDG05082,5,Racism,"Gender AND Racism"
SDG05083,5,Ableism,"Ableism"
SDG05090,5,Minorities,"Sexual minority,Minority group,Minority influence,Social vulnerability,Social stratification,Minority religion"
SDG05091,5,Sexual minority,"Sexual minority"
SDG05092,5,Religious minority,"Religious minority"
SDG05093,5,Ethnic minority,"Ethnic minority"
SDG05100,5,Representation,"Transgender,Transgender inequality,LGBTQ,Lesbian,Gay"
SDG05101,5,Transgender,"Transgender"
SDG05102,5,Lesbian,"Lesbian"
SDG05103,5,Gay,"Gay"
SDG06000,6,SDG 6,"Water supply,Water-use efficiency,Groundwater,Sanitation,Water AND Hygiene,Water Sanitation,Waterborne disease,Escherichia coli,Salmonella enterica,Polyomavirus infection,Desmodesmus,Reclaimed water,Desalination,Wastewater treatment,Drinking water,Drinking water quality standards,Safe Drinking Water,Drought,Water scarcity, Water security,Water storage,Water resources,Water Resource Management,Integrated Water Resources Management,Water quality,Water quality law,Water quality modelling,Water rights,Water politics,Water Regulations Advisory Scheme,Water Pollution,Water AND Contamination,Aquatic toxicology,Sustainable Development Goal 6"
SDG06010,6,Water Access,"Water supply,Water-use efficiency,Groundwater"
SDG06011,6,Water supply,"Water supply"
SDG06012,6,Water-use efficiency,"Water-use efficiency"
SDG06013,6,Groundwater,"Groundwater"
SDG06020,6,Sanitation & Hygiene,"Sanitation,Water AND Hygiene,Water AND Sanitation,Ecological sanitation,Emergency sanitation,Sustainable sanitation"
SDG06021,6,Ecological sanitation,"Ecological sanitation"
SDG06022,6,Emergency sanitation,"Emergency sanitation"
SDG06023,6,Sustainable sanitation,"Sustainable sanitation"
SDG06030,6,Water-borne Disease,"Waterborne disease,Escherichia coli,Salmonella enterica,Polyomavirus infection,Desmodesmus"
SDG06031,6,Escherichia coli,"Escherichia coli"
SDG06032,6,Salmonella enterica,"Salmonella enterica"
SDG06033,6,Polyomavirus infection,"Polyomavirus infection"
SDG06040,6,Wastewater Management,"Reclaimed water,Desalination,Wastewater treatment"
SDG06041,6,Reclaimed water,"Reclaimed water"
SDG06042,6,Desalination,"Desalination"
SDG06043,6,Sewage treatment,"Sewage treatment"
SDG06050,6,Clean Drinking Water,"Drinking water,Drinking water quality standards,Safe Drinking Water,Tap water"
SDG06051,6,Tap water,"Tap water"
SDG06052,6,Drinking water quality,"Drinking water quality standards"
SDG06053,6,Safe Drinking Water,"Safe Drinking Water"
SDG06060,6,Water Scarcity,"Drought,Water scarcity,Water security,Peak water"
SDG06061,6,Drought,"Drought"
SDG06062,6,Peak water,"Peak water"
SDG06063,6,Water security,"Water security"
SDG06070,6,Water Resource Management,"Water storage,Water resources,Water Resource Management,Integrated Water Resources Management,Water resource policy"
SDG06071,6,Water storage,"Water storage"
SDG06072,6,Water resources,"Water resources"
SDG06073,6,Water resource policy,"Water resource policy"
SDG06080,6,Water Quality,"Water quality,Water quality law,Water quality modelling"
SDG06081,6,Water quality law,"Water quality law"
SDG06082,6,Water quality modelling,"Water quality modelling"
SDG06083,6,Drinking quality verification,"Drinking water quality"
SDG06090,6,Water Policy,"Water rights,Water politics,Water Regulations Advisory Scheme"
SDG06091,6,Water rights,"Water rights"
SDG06092,6,Water politics,"Water politics"
SDG06093,6,Water Regulations,"Water Regulations Advisory Scheme"
SDG06100,6,Water Pollution,"Water Pollution,Water AND Contamination,Aquatic toxicology"
SDG06101,6,Turbidity,"Turbidity"
SDG06102,6,Salinity,"Salinity"
SDG06103,6,Pesticide,"Pesticide AND Water"
SDG07000,7,SDG 7,"Renewable energy,Solar power,Wind energy,Energy poverty,Energy for All,SolarAid,Sustainable Energy for All,Household energy insecurity,Sustainable energy,Energy poverty and cooking,Clean Energy Regulator,Energy efficiency,Energy efficiency implementation,Energy efficiency gap,Energy conservation,Energy storage,Electric potential energy,Thermal energy storage,Energy recycling,Energy recovery,Waste-to-energy,Waste heat,Sustainable energy,Carbon capture and storage,Energy transition,Energy development,Energy demand management,Electric energy consumption,World energy resources,World energy supply and consumption,Nuclear power,Potential energy,Nuclear reactor,Sustainable Development Goal 7"
SDG07010,7,Renewable Energy,"Renewable energy,Solar power,Wind energy"
SDG07011,7,Solar power,"Solar power"
SDG07012,7,Wind energy,"Wind energy"
SDG07013,7,Hydropower,"Hydropower"
SDG07020,7,Energy Access,"Energy poverty,Energy for All,Energy poverty and cooking,SolarAid,Sustainable Energy for All,Household energy insecurity"
SDG07021,7,Energy poverty,"Energy poverty"
SDG07022,7,Energy democratisation,"Energy for All"
SDG07023,7,Household energy insecurity,"Household energy insecurity"
SDG07030,7,Energy transition,"Energy transition,Energy security,Sustainable energy,Clean Energy Regulator"
SDG07031,7,Energy security,"Energy security"
SDG07032,7,Variable renewable energy,"Variable renewable energy"
SDG07033,7,Grid balancing,"Grid balancing"
SDG07040,7,Energy Efficiency,"Energy efficiency,Energy efficiency implementation,Energy efficiency gap"
SDG07041,7,Thermal efficiency,"Luminous efficacy"
SDG07042,7,Luminous efficacy,"Luminous efficacy"
SDG07043,7,Power usage efficacy,"Power usage effectiveness"
SDG07050,7,Energy Conservation,"Energy conservation,Energy storage,Electric potential energy,Thermal energy storage"
SDG07051,7,Energy storage,"Energy storage"
SDG07052,7,Electric potential energy,"Electric potential energy"
SDG07053,7,Thermal energy storage,"Thermal energy storage"
SDG07060,7,Energy Recycling,"Energy recycling,Energy recovery,Waste-to-energy,Waste heat,Cogeneration"
SDG07061,7,Energy recovery,"Energy recovery"
SDG07062,7,Waste-to-energy,"Waste-to-energy"
SDG07063,7,Cogeneration,"Cogeneration"
SDG07070,7,Sustainable Energy,"Sustainable energy,Carbon capture and storage,Energy transition,Sustainable city,Sustainable refurbishment,Sustainable biofuel"
SDG07071,7,Sustainable city,"Sustainable city"
SDG07072,7,Sustainable refurbishment,"Sustainable refurbishment"
SDG07073,7,Sustainable biofuel,"Sustainable biofuel"
SDG07080,7,Energy Infrastructure,"Energy development,Energy demand management,Electric energy consumption"
SDG07081,7,Energy development,"Energy development"
SDG07082,7,Energy demand management,"Energy demand management"
SDG07083,7,Electric energy consumption,"Electric energy consumption"
SDG07090,7,Energy Policy,"World energy resources,World energy supply and consumption,Energy policy,Energy planning,Energy intensity,Nuclear energy policy"
SDG07091,7,Energy planning,"Energy planning"
SDG07092,7,Energy intensity,"Energy intensity"
SDG07093,7,Nuclear energy policy,"Nuclear energy policy"
SDG07100,7,Nuclear Energy,"Nuclear power,Potential energy,Nuclear reactor,Nuclear energy policy"
SDG07101,7,Nuclear power,"Nuclear power"
SDG07102,7,Potential energy,"Potential energy"
SDG07103,7,Energy economics,"Energy economics"
SDG08000,8,SDG 8,"Unemployment,Self-employment,Workforce,Economic Growth,Informal Economy,Globalization,Sustainability,Sustainable tourism,Ecotourism,Financial models,Business model,Innovation,Financial support,Worker Rights,Labor Right,Labour law,Decent Work,Fundamental rights,Dignity of labour,Inclusive Development Index,Inclusive growth,Sustainable development,Resource efficiency,Resource intensity,Sustainability measurement,Youth Unemployment,Unemployment,Capacity building,Corporate Social Responsibility,Conscious business,Corporate governance,Sustainable Development Goal 8"
SDG08010,8,Unemployment,"Unemployment,Self-employment,Workforce,Unemployment benefits,Technological unemployment"
SDG08011,8,Self-employment,"Self-employment"
SDG08012,8,Unemployment benefits,"Unemployment benefits"
SDG08013,8,Technological unemployment,"Technological unemployment"
SDG08020,8,Economic Development,"Economic Growth,Informal Economy,Globalization"
SDG08021,8,Economic Growth,"Economic Growth"
SDG08022,8,Informal Economy,"Informal Economy"
SDG08022,8,Globalization,"Globalization"
SDG08030,8,Sustainable Tourism,"Sustainability,Sustainable tourism,Ecotourism"
SDG08031,8,Nature-positive,"Nature-positive"
SDG08032,8,Leave No Trace,"Leave No Trace"
SDG08033,8,Ecotourism,"Ecotourism"
SDG08040,8,Entrepreneurship,"Financial models,Business model,Innovation,Financial support"
SDG08041,8,Financial models,"Financial models"
SDG08042,8,Business model,"Business model"
SDG08043,8,Innovation,"Innovation"
SDG08050,8,Labor Rights,"Worker Rights,Labor rights,Labour law,Right to work"
SDG08051,8,Worker Rights,"Worker Rights"
SDG08052,8,Freedom of association,"Freedom of association"
SDG08053,8,Labour law,"Labour law"
SDG08060,8,Decent Work,"Decent Work,Fundamental rights,Dignity of labour,Decent work,Happiness at work"
SDG08061,8,Happiness at work,"Happiness at work"
SDG08062,8,Dignity of labour,"Dignity of labour"
SDG08063,8,Forced labour,"Forced labour"
SDG08070,8,Economic inclusivity,"Inclusive Development Index,Inclusive growth,Sustainable development"
SDG08071,8,Inclusive Development,"Inclusive Development Index"
SDG08072,8,Inclusive growth,"Inclusive growth"
SDG08073,8,Sustainable development,"Sustainable development"
SDG08080,8,Resource Efficiency,"Resource efficiency,Resource intensity,Sustainability measurement,Resource productivity,Environmental degradation"
SDG08081,8,Resource productivity,"Resource productivity"
SDG08082,8,Resource intensity,"Resource intensity"
SDG08083,8,Environmental degradation,"Environmental degradation"
SDG08090,8,Youth Employment,"Youth Unemployment,Unemployment,Capacity building,Social entrepreneurship"
SDG08091,8,Capacity building,"Capacity building"
SDG08092,8,Social entrepreneurship,"Social entrepreneurship"
SDG08093,8,Youth intervention,"Youth intervention"
SDG08100,8,Corporate Social Responsibility,"Corporate Social Responsibility,Conscious business,Corporate governance"
SDG08101,8,Responsible Research Innovation,"Responsible Research and Innovation"
SDG08102,8,Conscious business,"Conscious business"
SDG08103,8,Corporate governance,"Corporate governance"
SDG09000,9,SDG 9,"Infrastructure,IT infrastructure,Data center,Business continuity planning,Industrialisation,Manufacturing,Technology life cycle,Research and development,Technology demonstration,Prototype,Innovation,Lean project management,Intellectual property,Sustainable industries,Green infrastructure,Sustainable energy,Cyber Resilience Act,Computer security,Cyber resilience,Software standard,Industrial Policy,Communication protocol,Domino effect accident,Process safety,Transdisciplinarity,Green economy,Ecological economics,Environmental economics,Artificial Intelligence,Digital transformation,Discovery-driven planning,Sustainable Development Goal 9"
SDG09010,9,Infrastructure,"Infrastructure,IT infrastructure,Data center,Business continuity planning,Critical infrastructure"
SDG09011,9,Cloud computing,"Cloud computing"
SDG09012,9,Data infrastructure,"Data infrastructure,"
SDG09013,9,Critical infrastructure,"Critical infrastructure"
SDG09020,9,Industrialization,"Industrialisation,Manufacturing,Technology life cycle"
SDG09021,9,Human–computer interaction,"Human–computer interaction"
SDG09022,9,Human–robot interaction,"Human–robot interaction,"
SDG09023,9,Fourth Industrial Revolution,"Fourth Industrial Revolution"
SDG09030,9,Research & Development,"Research and development,Technology demonstration,Prototype"
SDG09031,9,Open science,"Open science"
SDG09032,9,Technology demonstration,"Technology demonstration"
SDG09033,9,Technology transfer,"Technology transfer"
SDG09040,9,Innovation,"Innovation,Lean project management,Intellectual property,Open innovation"
SDG09041,9,Lean Development,"Lean software development"
SDG09042,9,Intellectual property,"Intellectual property"
SDG09043,9,Open innovation,"Open innovation"
SDG09050,9,Sustainable industries,"Sustainable industries,Green infrastructure,Sustainable energy"
SDG09051,9,Environmental impact assessment,"Environmental impact assessment"
SDG09052,9,Green infrastructure,"Green infrastructure"
SDG09053,9,ESG,"Environmental,_social,_and_governance"
SDG09060,9,Technology Resilience,"Cyber Resilience Act,Computer security,Cyber resilience"
SDG09061,9,Cybercrime,"Cybercrime"
SDG09062,9,Computer security,"Computer security"
SDG09063,9,Cyber resilience,"Cyber resilience"
SDG09070,9,Industrial Policy,"Software standard,Industrial Policy,Communication protocol"
SDG09071,9,Software standard,"Software standard"
SDG09072,9,Commercial policy,"Commercial policy"
SDG09073,9,Communication protocol,"Communication protocol"
SDG09080,9,NaTech Accidents,"Domino effect accident,Process safety,Transdisciplinarity"
SDG09081,9,Domino effect accident,"Domino effect accident"
SDG09082,9,Process safety,"Process safety"
SDG09083,9,Disaster risk reduction,"Disaster risk reduction"
SDG09090,9,Green Economy,"Green economy,Ecological economics,Environmental economics"
SDG09091,9,Sustainability standards and certification,"Sustainability standards and certification"
SDG09092,9,Green accounting,"Green accounting"
SDG09093,9,Environmental economics,"Environmental economics"
SDG09100,9,Digital Transformation,"Artificial Intelligence,Digital transformation,Discovery-driven planning"
SDG09101,9,Artificial Intelligence,"Artificial Intelligence"
SDG09102,9,Digital transformation,"Digital transformation"
SDG09103,9,Discovery-driven planning,"Discovery-driven planning"
