n	url	http	note
S34	https://pubmed.ncbi.nlm.nih.gov/7000592/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S35	https://pubmed.ncbi.nlm.nih.gov/23867899/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S36	https://laws.e-gov.go.jp/law/357AC0000000080	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S37	https://laws.e-gov.go.jp/law/419M60000100157	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S38	https://laws.e-gov.go.jp/law/419M60000100140	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S39	https://www.immigration.govt.nz/about-us/news-centre/acceptable-standard-of-health/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S40	https://blogs.loc.gov/law/2013/07/how-big-is-too-big-for-new-zealand/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S41	https://sso.agc.gov.sg/SL/SFA1973-RG1?ProvIds=pr184A-	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S42	https://pmc.ncbi.nlm.nih.gov/articles/PMC10498917/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S43	https://pmc.ncbi.nlm.nih.gov/articles/PMC6670018/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S44	https://pmc.ncbi.nlm.nih.gov/articles/PMC10647377/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S45	https://www.nhc.gov.cn/wjw/c100378/202504/f94979ff66e0418aa5d610d12a12c848.shtml	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S46	https://www.nhc.gov.cn/ylyjs/gzdt/202406/41c64b9fd9774352af22f5274c1e831d.shtml	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S47	https://laws.e-gov.go.jp/law/347AC0000000057	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S48	http://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=98630	403	код 403
S49	https://www.law.go.kr/LSW/cgmExpcInfoP.do?cgmExpcDatSeq=459738&mode=2&ofiClsCd=350116	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S50	https://www.law.go.kr/LSW/lsInfoP.do?urlMode=lsInfoP&lsId=010937	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S51	https://www.pbs.gov.au/info/reviews/PBAC-advice-equitable-access-to-GLP-1-obesity-treatments	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S52	https://www.pbs.gov.au/news/2026/03/pbac-advice-on-equitable-access-to-glp-1-obesity-treatments-17-march-2026	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S53	https://www.tga.gov.au/news/media-releases/your-solution-compounding-pharmacy-undertakes-comply-advertising-ru	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S54	https://www.tga.gov.au/news/media-releases/update-glucagon-peptide-1-receptor-agonists-glp-1-ras-pharmacy-comp	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S55	https://immi.homeaffairs.gov.au/help-support/meeting-our-requirements/health/protecting-health-care-and-commun	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S56	https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Completed_Inquiries/mig/disability/chapter3	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S57	https://www.dof.gov.ph/asean-members-cite-trains-sweetened-beverage-tax-as-successful-policy-dof/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S58	https://apps.fas.usda.gov/newgainapi/api/report/downloadreportbyfilename?filename=Thai+Excise+Department+Imple	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S59	https://pmc.ncbi.nlm.nih.gov/articles/PMC8084227/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S60	https://www.tobaccofreekids.org/press-releases/2025_06_18_government-of-viet-nam-approves-life-saving-taxes-on	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S61	https://www.moh.gov.sg/newsroom/update-on-the-war-on-diabetes/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S62	https://www.law.go.kr/LSW/lumLsLinkPop.do?lspttninfSeq=69419&ancYnChk=0&chrClsCd=010202	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S63	https://tax.gov.ae/en/media.centre/news/federal.tax.authority.clarifies.new.aspx	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S64	https://www.emro.who.int/emhj-volume-30-2024/volume-30-issue-11/situation-analysis-of-sugar-sweetened-beverage	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S65	https://www.doh.gov.ae/-/media/9F8611EF0B7841F28E2AAE4614327F59.ashx	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S66	https://pmc.ncbi.nlm.nih.gov/articles/PMC10757599/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S67	https://www.sfda.gov.sa/en/news/17639	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S68	https://sis.gov.eg/en/media-center/news/health-minister-100-million-healthy-lives-initiatives-deliver-289-mill	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S69	https://www.aile.gov.tr/eyhgm/mevzuat/ulusal-mevzuat/yonetmelikler/surucu-adaylari-ve-suruculerde-aranacak-sag	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S70	https://pmc.ncbi.nlm.nih.gov/articles/PMC10755473/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S71	https://eurohealthobservatory.who.int/monitors/health-systems-monitor/updates/hspm/israel-2015/sugar-beverage-	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S72	https://pmc.ncbi.nlm.nih.gov/articles/PMC11581873/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S73	https://www.saglik.gov.tr/TR-52851/okullarda-satisi-yapilabilecek-yiyecek-ve-icecekler-icin-logo-uygulamasi-01	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S74	https://www.tarimorman.gov.tr/GKGM/Belgeler/DB_Gida_Isletmeleri/Okul_Gidasi_SB_Bilim_Kurulu_Karar_Tutanagi.pdf	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S75	https://pmc.ncbi.nlm.nih.gov/articles/PMC7685619/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S76	https://www.moph.gov.qa/english/strategies/Supporting-Strategies-and-Frameworks/nationaldiabetesstrategy/Pages	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S77	https://www.retsinformation.dk/eli/lta/2011/247/pdf	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S78	https://pubmed.ncbi.nlm.nih.gov/25840733/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S79	https://www.retsinformation.dk/eli/lta/2014/708/dan/pdf	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S80	https://www.dst.dk/nytpdf/48869	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S81	https://www.dst.dk/nyt/52231	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S82	https://www.dst.dk/nytpdf/52231	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S83	https://www.retsinformation.dk/eli/lta/2015/131	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S84	https://www.retsinformation.dk/api/pdf/175931	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S85	https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32019R0649	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S86	https://njt.hu/jogszabaly/2011-103-00-00	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S87	https://njt.hu/jogszabaly/2011-103-00-00.1	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S88	https://njt.hu/jogszabaly/2011-103-00-00.8	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S89	https://pubmed.ncbi.nlm.nih.gov/37086420/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S90	https://pubmed.ncbi.nlm.nih.gov/29166954/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S91	https://www.legislation.gov.uk/ukpga/2017/10/section/29/data.xht	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S92	https://www.legislation.gov.uk/ukpga/2017/10/part/2/crossheading/charging-of-the-soft-drinks-industry-levy	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S93	https://www.gov.uk/government/news/soft-drinks-industry-levy-comes-into-effect	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S94	https://pmc.ncbi.nlm.nih.gov/articles/PMC12142870/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S95	https://pubmed.ncbi.nlm.nih.gov/39903599/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S96	https://www.legislation.gov.uk/ukdsi/2021/9780348223538	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S97	https://pmc.ncbi.nlm.nih.gov/articles/PMC11015320/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S98	https://pmc.ncbi.nlm.nih.gov/articles/PMC7352298/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S99	https://pubmed.ncbi.nlm.nih.gov/30261242/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S100	https://www.gov.uk/government/publications/restricting-advertising-of-less-healthy-food-or-drink-on-tv-and-onl	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S101	https://www.gov.uk/government/collections/less-healthy-food-or-drink-advertising-and-promotions-restrictions	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S102	https://www.gov.uk/government/news/childrens-health-further-protected-with-energy-drinks-ban	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S103	https://www.gov.uk/guidance/diabetes-mellitus-assessing-fitness-to-drive	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S104	https://pubmed.ncbi.nlm.nih.gov/18421936/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S105	https://www.gesetze-im-internet.de/fev_2010/anlage_4.html	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S106	https://pubmed.ncbi.nlm.nih.gov/34142412/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S107	https://pubmed.ncbi.nlm.nih.gov/31331425/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S108	https://www.nice.org.uk/guidance/ta875	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S109	https://www.nice.org.uk/guidance/ta875/chapter/1-Recommendations	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S110	https://www.nice.org.uk/guidance/ta875/resources/semaglutide-for-managing-overweight-and-obesity-pdf-826136748	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S111	https://pmc.ncbi.nlm.nih.gov/articles/PMC12705252/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S112	https://www.nice.org.uk/guidance/ta1152	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S113	https://www.gov.uk/government/publications/better-health-rewards-summary-of-pilot-results/better-health-reward	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S114	https://pmc.ncbi.nlm.nih.gov/articles/PMC9160476/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S115	https://pmc.ncbi.nlm.nih.gov/articles/PMC7115827/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S116	https://www.gesetze-im-internet.de/sgb_5/__34.html	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S117	https://pubmed.ncbi.nlm.nih.gov/40388976/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S118	https://www.gesetze-im-internet.de/sgb_5/__65a.html	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S119	https://infocuria.curia.europa.eu/tabs/redirect/juris/document/document.jsf?docid=160935&doclang=EN	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S120	https://infocuria.curia.europa.eu/tabs/redirect/juris/document/document_print.jsf?docid=160935&doclang=EN	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S121	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000031918053	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S122	https://www.legifrance.gouv.fr/loda/id/JORFTEXT000033922943/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S123	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000041466290	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S124	https://www.legifrance.gouv.fr/loda/article_lc/JORFARTI000001143058/2026-03-24	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S125	https://www.legifrance.gouv.fr/loda/id/LEGITEXT000006055557	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S126	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000045764857/2022-05-07	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S127	https://pubmed.ncbi.nlm.nih.gov/35570062/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S128	https://pmc.ncbi.nlm.nih.gov/articles/PMC8819797/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S129	https://www.zorginstituutnederland.nl/documenten/2024/07/12/gvs-advies-semaglutide-wegovy-bij-obesitas	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S130	https://isap.sejm.gov.pl/isap.nsf/download.xsp/WDU20200001492/T/D20201492L.pdf	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S131	https://www.gov.pl/web/ijhars/podatek-cukrowy	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S132	https://www.fm.gov.lv/lv/nodokla-likmes	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S133	https://m.likumi.lv/ta/id/81066-par-akcizes-nodokli	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S134	https://www.vero.fi/syventavat-vero-ohjeet/ohje-hakusivu/56208/virvoitusjuomaver/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S135	https://www.finlex.fi/fi/hallituksen-esitykset/2019/27	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S136	https://www.regjeringen.no/no/dokumenter/nou-2022-20/id2951826/?ch=16	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S137	https://pmc.ncbi.nlm.nih.gov/articles/PMC7491168/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S138	https://pmc.ncbi.nlm.nih.gov/articles/PMC4498278/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S139	https://www.bag.admin.ch/dam/de/sd-web/4UEBFvIzBFFM/wegovy-neuaufnahme-01-03-2024.pdf	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S140	https://www.bag.admin.ch/dam/fr/sd-web/zo5pElZKCzLb/WEGOVY%20Limitations%C3%A4nderung%2001.05.2025%20befristet	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S141	https://pmc.ncbi.nlm.nih.gov/articles/PMC9012158/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S142	https://minzdrav.gov.by/ru/novoe-na-sayte/kommentariy-k-postanovleniyam-ministerstva-zdravookhraneniya-94-i-95	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S143	https://www.kmu.gov.ua/news/z-1-zhovtnya-paciyenti-zmozhut-otrimati-insulini-za-programoyu-dostupni-liki-nszu	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S144	https://moz.gov.ua/uk/preparati-dlja-likuvannja-diabetu-i-tipu-ta-necukrovogo-diabetu-vkljucheno-do-nacionalno	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S145	https://www.gov.ie/en/department-of-health/press-releases/government-welcomes-european-commission-approval-of-	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S146	https://pubmed.ncbi.nlm.nih.gov/27481150/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S147	https://www.congress.gov/bill/117th-congress/house-bill/5376	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S148	https://www.ecfr.gov/current/title-29/subtitle-B/chapter-XXV/subchapter-L/part-2590/subpart-B/section-2590.702	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S149	https://www.arkleg.state.ar.us/Home/FTPDocument?path=%2FAssembly%2FMeeting+Attachments%2F410%2FI14319%2FEX+H1+	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S150	https://www.federalregister.gov/documents/2018/09/19/2018-20161/qualifications-of-drivers-diabetes-standard	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S151	https://pmc.ncbi.nlm.nih.gov/articles/PMC7511432/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S152	https://www.legislature.mi.gov/mileg.aspx%3Fpage%3DgetObject%26objectname%3Dmcl-37-2202	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S153	https://dof.gob.mx/normasOficiales/8150/seeco11_C/seeco11_C.html	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S154	https://www.bcn.cl/leychile/navegar?idNorma=1041570	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S155	https://www.boletinoficial.gob.ar/detalleAviso/primera/252728/20211112	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S156	https://rest.hcdn.gob.ar/web/proyectos/291968/adjuntos/105773	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S157	https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=199883	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S158	https://www.argentina.gob.ar/normativa/nacional/norma-144033/texto	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S159	https://www.cms.gov/newsroom/press-releases/coming-soon-cms-provide-50-monthly-access-glp-1-medications-medica	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S160	https://www.medicare.gov/publications/12234-medicare-glp-1-bridge-glp-1-drugs-for-50-a-month.pdf	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S161	https://www.cms.gov/newsroom/fact-sheets/contract-year-2026-policy-and-technical-changes-medicare-advantage-pr	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S162	https://www.in.gov.br/en/web/dou/-/resolucao-de-diretoria-colegiada-rdc-n-429-de-8-de-outubro-de-2020-28207059	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S163	https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2025/canetas-emagrecedoras-so-poderao-ser-vendidas-co	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S164	https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2025/anvisa-esclarece-sobre-proibicao-de-ingresso-de-	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S165	https://www.congresooaxaca.gob.mx/docs64.congresooaxaca.gob.mx/documents/dictamen/1184.pdf	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S166	https://www.gov.bm/articles/sugar-tax	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S167	https://www.nyc.gov/site/cchr/media/height-and-weight.page	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S168	https://www.dof.gob.mx/nota_detalle.php?codigo=5740005&fecha=30/09/2024	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S169	https://www.bcn.cl/api-leyfacil/servicio/ObtenerGuiaPublicadaHTML?uri=plan-ges-ex-auge	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S170	https://www.gob.pe/1066-ministerio-de-salud-conoce-las-advertencias-publicitarias-octogonos	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S171	https://www.faa.gov/newsroom/new-protocols-diabetics-seeking-air-transport-and-commercial-pilots-medical-certi	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S172	https://law.justia.com/cases/washington/supreme-court/2019/96335-5.html	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S173	https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=168029	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S174	https://fssai.gov.in/docs/food-law/regulations/Gazette_Notification_Safe_Food_Children_07_09_2020.pdf	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S175	https://fssai.gov.in/cms/food-safety-and-standards-regulations.php	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S176	https://pmc.ncbi.nlm.nih.gov/articles/PMC8477491/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S177	https://pubmed.ncbi.nlm.nih.gov/24561969/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S178	https://pubmed.ncbi.nlm.nih.gov/26078247/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S179	https://pmc.ncbi.nlm.nih.gov/articles/PMC11086919/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S180	https://cbseacademic.nic.in/web_material/Circulars/2025/26_Circular_2025.pdf	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S181	https://cbseacademic.nic.in/web_material/Circulars/2025/45_Circular_2025.pdf	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S182	https://www.pib.gov.in/PressReleasePage.aspx?PRID=2144885	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S183	https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=1944600	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S184	https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2104884	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S185	https://pubmed.ncbi.nlm.nih.gov/41472431/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S186	https://ncd.mohfw.gov.in/ncdlandingassets/aboutus.html	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S187	https://pmc.ncbi.nlm.nih.gov/articles/PMC13386696/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S188	https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2163555	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S189	https://courier.cbic.gov.in/ECCS/advisory/2025/NOTIFICATION%20NO.%209_2025-INTEGRATED%20TAX%20(RATE	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S190	https://pmc.ncbi.nlm.nih.gov/articles/PMC10580107/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S191	https://pubmed.ncbi.nlm.nih.gov/41247585/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S192	https://irdai.gov.in/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S193	https://nppa.gov.in/1540e	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S194	https://www.pib.gov.in/PressReleasePage.aspx?PRID=2154217	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S195	https://pubmed.ncbi.nlm.nih.gov/32552127/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S196	https://eohfs.health.gov.lk/food/images/2319-42_E.pdf	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S197	https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=FAIRS%20Country%20Report%20A	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S198	https://pubmed.ncbi.nlm.nih.gov/34872840/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S199	https://pmc.ncbi.nlm.nih.gov/articles/PMC12351034/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S200	https://eohfs.health.gov.lk/food/index.php?option=com_content&view=article&id=18&Itemid=159&lang=en	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S201	https://pmc.ncbi.nlm.nih.gov/articles/PMC10795608/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S202	https://pubmed.ncbi.nlm.nih.gov/28013557/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S203	https://iris.who.int/server/api/core/bitstreams/9dc39e4a-e2ba-4ae3-b10e-579101605264/content	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S204	https://pubmed.ncbi.nlm.nih.gov/36988952/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
